Date,Open,High,Low,Close,Adj Close,Volume
2012-08-06,1.836667,1.913333,1.836667,1.884667,1.884667,22923000
2012-08-07,1.918000,2.060000,1.900000,2.016667,2.016667,35808000
2012-08-08,1.993333,2.000000,1.906000,1.939333,1.939333,19633500
2012-08-09,1.968000,2.000000,1.942000,1.960667,1.960667,10089000
2012-08-10,1.954000,1.996000,1.954000,1.996000,1.996000,10611000
2012-08-13,1.979333,2.086667,1.940000,2.078000,2.078000,13051500
2012-08-14,2.050000,2.078000,1.950667,1.961333,1.961333,11901000
2012-08-15,1.959333,1.980000,1.920667,1.960000,1.960000,7881000
2012-08-16,1.968667,2.026000,1.966667,2.020000,2.020000,10035000
2012-08-17,2.019333,2.047333,1.998667,2.000667,2.000667,7623000
2012-08-20,2.010000,2.026000,1.940000,1.967333,1.967333,17686500
2012-08-21,1.972000,2.000000,1.933333,1.940667,1.940667,11424000
2012-08-22,1.934000,2.002667,1.934000,1.996667,1.996667,11632500
2012-08-23,2.000000,2.056667,1.976667,2.048667,2.048667,22065000
2012-08-24,2.004000,2.016000,1.960667,1.966667,1.966667,21441000
2012-08-27,1.971333,1.980000,1.878000,1.888000,1.888000,20256000
2012-08-28,1.893333,1.958667,1.866667,1.912667,1.912667,21040500
2012-08-29,1.899333,1.909333,1.868000,1.894000,1.894000,12583500
2012-08-30,1.906667,1.916000,1.873333,1.894000,1.894000,9846000
2012-08-31,1.907333,1.922667,1.880000,1.901333,1.901333,8097000
2012-09-04,1.901333,1.932667,1.860000,1.876000,1.876000,11287500
2012-09-05,1.867333,1.900000,1.854000,1.862667,1.862667,9589500
2012-09-06,1.866667,1.926667,1.860000,1.903333,1.903333,12625500
2012-09-07,1.903333,1.971333,1.900000,1.956667,1.956667,14298000
2012-09-10,1.946667,1.956667,1.820000,1.824667,1.824667,22249500
2012-09-11,1.850667,1.877333,1.826667,1.853333,1.853333,15223500
2012-09-12,1.860000,1.905333,1.853333,1.885333,1.885333,17178000
2012-09-13,1.904667,1.966667,1.898667,1.965333,1.965333,22270500
2012-09-14,2.000000,2.043333,1.976667,2.026000,2.026000,23049000
2012-09-17,2.156667,2.185333,2.100667,2.169333,2.169333,48192000
2012-09-18,2.125333,2.126667,2.045333,2.089333,2.089333,26827500
2012-09-19,2.066667,2.116000,2.062667,2.070000,2.070000,15727500
2012-09-20,2.062000,2.100000,2.045333,2.060000,2.060000,13686000
2012-09-21,2.073333,2.099333,1.969333,2.001333,2.001333,28050000
2012-09-24,1.967333,2.068667,1.960000,2.044000,2.044000,19528500
2012-09-25,1.908000,1.965333,1.835333,1.844000,1.844000,85206000
2012-09-26,1.844000,1.893333,1.832000,1.836000,1.836000,22908000
2012-09-27,1.854667,1.902667,1.840000,1.899333,1.899333,26379000
2012-09-28,1.915333,1.992667,1.907333,1.952000,1.952000,65151000
2012-10-01,1.966667,1.992667,1.933333,1.944000,1.944000,13266000
2012-10-02,1.952000,1.992667,1.933333,1.986667,1.986667,10935000
2012-10-03,1.983333,1.996667,1.949333,1.953333,1.953333,15792000
2012-10-04,2.000000,2.006667,1.910000,1.960000,1.960000,23119500
2012-10-05,1.980000,1.987333,1.912000,1.926000,1.926000,14079000
2012-10-08,1.924000,1.960000,1.907333,1.950000,1.950000,13345500
2012-10-09,1.941333,1.941333,1.883333,1.891333,1.891333,17895000
2012-10-10,1.892667,1.914667,1.867333,1.893333,1.893333,7554000
2012-10-11,1.929333,1.932000,1.883333,1.888000,1.888000,6759000
2012-10-12,1.888000,1.915333,1.833333,1.842667,1.842667,14814000
2012-10-15,1.868000,1.870000,1.790667,1.822000,1.822000,22030500
2012-10-16,1.844667,1.872667,1.822667,1.870667,1.870667,7189500
2012-10-17,1.883333,1.922667,1.853333,1.921333,1.921333,10020000
2012-10-18,1.932667,1.932667,1.852000,1.869333,1.869333,11115000
2012-10-19,1.855333,1.880000,1.820000,1.849333,1.849333,15411000
2012-10-22,1.866000,1.866667,1.824000,1.856667,1.856667,7053000
2012-10-23,1.825333,1.904000,1.824667,1.892667,1.892667,11235000
2012-10-24,1.901333,1.901333,1.816667,1.828000,1.828000,15246000
2012-10-25,1.853333,1.853333,1.830000,1.834667,1.834667,8665500
2012-10-26,1.835333,1.853333,1.801333,1.825333,1.825333,7161000
2012-10-31,1.846667,1.890000,1.824667,1.875333,1.875333,11628000
2012-11-01,1.883333,1.966000,1.880000,1.950000,1.950000,15361500
2012-11-02,1.951333,1.970000,1.903333,1.928000,1.928000,15454500
2012-11-05,1.986667,2.105333,1.955333,2.100000,2.100000,30733500
2012-11-06,2.040667,2.080000,1.996667,2.076667,2.076667,34860000
2012-11-07,2.066667,2.136667,2.054000,2.102667,2.102667,25717500
2012-11-08,2.067333,2.125333,2.062667,2.087333,2.087333,19110000
2012-11-09,2.040000,2.062000,1.990000,2.021333,2.021333,12945000
2012-11-12,2.019333,2.094667,2.010667,2.071333,2.071333,8338500
2012-11-13,2.086000,2.133333,2.048000,2.107333,2.107333,14974500
2012-11-14,2.130667,2.141333,2.080000,2.092000,2.092000,13069500
2012-11-15,2.086667,2.096000,2.033333,2.054667,2.054667,14760000
2012-11-16,2.076667,2.133333,2.039333,2.122667,2.122667,13630500
2012-11-19,2.138000,2.216667,2.122667,2.194667,2.194667,20886000
2012-11-20,2.186667,2.206667,2.127333,2.200000,2.200000,13837500
2012-11-21,2.174000,2.231333,2.152667,2.164667,2.164667,14448000
2012-11-23,2.173333,2.188667,2.113333,2.142000,2.142000,6454500
2012-11-26,2.140000,2.153333,2.108000,2.151333,2.151333,7437000
2012-11-27,2.142000,2.177333,2.101333,2.143333,2.143333,13662000
2012-11-28,2.133333,2.286000,2.127333,2.215333,2.215333,22878000
2012-11-29,2.229333,2.266667,2.191333,2.246000,2.246000,16551000
2012-11-30,2.242000,2.285333,2.200667,2.254667,2.254667,21304500
2012-12-03,2.259333,2.333333,2.233333,2.308000,2.308000,31285500
2012-12-04,2.272000,2.320000,2.236667,2.260000,2.260000,18949500
2012-12-05,2.254667,2.279333,2.238667,2.247333,2.247333,9922500
2012-12-06,2.254667,2.320000,2.233333,2.260000,2.260000,9906000
2012-12-07,2.286667,2.299333,2.256667,2.278000,2.278000,9966000
2012-12-10,2.295333,2.320000,2.278667,2.304667,2.304667,13947000
2012-12-11,2.306667,2.366667,2.297333,2.352000,2.352000,23589000
2012-12-12,2.347333,2.386667,2.330000,2.350667,2.350667,30957000
2012-12-13,2.350667,2.353333,2.183333,2.240667,2.240667,32269500
2012-12-14,2.252000,2.293333,2.239333,2.254000,2.254000,15345000
2012-12-17,2.251333,2.300000,2.250000,2.293333,2.293333,12373500
2012-12-18,2.284000,2.338000,2.284000,2.306000,2.306000,23308500
2012-12-19,2.316667,2.350667,2.301333,2.307333,2.307333,19482000
2012-12-20,2.300667,2.319333,2.270000,2.295333,2.295333,13818000
2012-12-21,2.262667,2.278000,2.238667,2.266667,2.266667,22386000
2012-12-24,2.242667,2.290000,2.236667,2.285333,2.285333,5637000
2012-12-26,2.264000,2.300000,2.233333,2.239333,2.239333,9021000
2012-12-27,2.233333,2.260667,2.200000,2.246000,2.246000,8416500
2012-12-28,2.225333,2.243333,2.201333,2.214667,2.214667,6211500
